-40	0.4	0.4
-39	0.39	0.39
-38	0.38	0.38
-37	0.37	0.37
-36	0.36	0.36
-35	0.35	0.35
-34	0.34	0.34
-33	0.33	0.33
-32	0.32	0.32
-31	0.31	0.31
-30	0.3	0.3
-29	0.29	0.29
-28	0.28	0.28
-27	0.27	0.27
-26	0.26	0.26
-25	0.25	0.25
-24	0.24	0.24
-23	0.23	0.23
-22	0.22	0.22
-21	0.21	0.21
-20	0.2	0.2
-19	0.19	0.19
-18	0.18	0.18
-17	0.17	0.17
-16	0.16	0.16
-15	0.15	0.15
-14	0.14	0.14
-13	0.13	0.13
-12	0.12	0.12
-11	0.11	0.11
-10	0.1	0.1
-9	0.09	0.09
-8	0.08	0.08
-7	0.07	0.07
-6	0.06	0.06
-5	0.05	0.05
-4	0.04	0.04
-3	0.03	0.03
-2	0.02	0.02
-1	0.01	0.01
0	-0	-0
1	-0.01	-0.01
2	-0.02	-0.02
3	-0.03	-0.03
4	-0.04	-0.04
5	-0.05	-0.05
6	-0.06	-0.06
7	-0.07	-0.07
8	-0.08	-0.08
9	-0.09	-0.09
10	-0.1	-0.1
11	-0.11	-0.11
12	-0.12	-0.12
13	-0.13	-0.13
14	-0.14	-0.14
15	-0.15	-0.15
16	-0.16	-0.16
17	-0.17	-0.17
18	-0.18	-0.18
19	-0.19	-0.19
20	-0.2	-0.2
21	-0.21	-0.21
22	-0.22	-0.22
23	-0.23	-0.23
24	-0.24	-0.24
25	-0.25	-0.25
26	-0.26	-0.26
27	-0.27	-0.27
28	-0.28	-0.28
29	-0.29	-0.29
30	-0.3	-0.3
31	-0.31	-0.31
32	-0.32	-0.32
33	-0.33	-0.33
34	-0.34	-0.34
35	-0.35	-0.35
36	-0.36	-0.36
37	-0.37	-0.37
38	-0.38	-0.38
39	-0.39	-0.39
40	-0.4	-0.4
